Rk,Season,Tm,Lg,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MOV,SOS,SRS,Pace,ORtg,DRtg,eFG%,TOV%,ORB%,FT/FGA,oop_eFG%,oop_TOV%,oop_ORB%,oop_FT/FGA
1,1970-71,MIL*,NBA,82,66,16,0.805,19780,3972,7803,3972,7803,,,1766,2379,,,4344,2249,,,,1847,9710,12.26,-0.34,11.91,,,,0.509,,,0.226,0.424,,,0.21
2,1995-96,CHI*,NBA,82,72,10,0.878,19730,3293,6892,2749,5543,544,1349,1495,2004,1247,2411,3658,2033,745,345,1175,1807,8625,12.24,-0.44,11.8,91.1,115.2,101.8,0.517,13.1,36.9,0.217,0.482,16.1,28.9,0.222
3,1971-72,LAL*,NBA,82,69,13,0.841,19755,3920,7998,3920,7998,,,2080,2833,,,4628,2232,,,,1636,9920,12.28,-0.63,11.65,,,,0.49,,,0.26,0.432,,,0.177
4,1971-72,MIL*,NBA,82,63,19,0.768,19780,3813,7653,3813,7653,,,1774,2399,,,4269,2160,,,,1862,9400,11.16,-0.46,10.7,,,,0.498,,,0.232,0.42,,,0.217
5,1996-97,CHI*,NBA,82,69,13,0.841,19730,3277,6923,2754,5520,523,1403,1381,1848,1235,2461,3696,2142,716,332,1109,1617,8458,10.8,-0.11,10.7,90,114.4,102.4,0.511,12.5,35.9,0.199,0.471,14.8,30.7,0.196
6,2015-16,GSW*,NBA,82,73,9,0.89,19880,3489,7159,2412,4567,1077,2592,1366,1790,816,2972,3788,2373,689,498,1245,1701,9421,10.76,-0.38,10.38,99.3,114.5,103.8,0.563,13.5,23.5,0.191,0.479,12.6,24,0.208
7,2015-16,SAS*,NBA,82,67,15,0.817,19705,3289,6797,2719,5279,570,1518,1342,1672,770,2831,3601,2010,677,485,1071,1433,8490,10.63,-0.36,10.28,93.8,110.3,99,0.526,12.4,23,0.197,0.477,14.1,20.9,0.182
8,1991-92,CHI*,NBA,82,67,15,0.817,19830,3643,7168,3505,6714,138,454,1587,2132,1173,2439,3612,2279,672,480,1088,1693,9011,10.44,-0.37,10.07,94.4,115.5,104.5,0.518,11.8,35.1,0.221,0.476,14.1,30.7,0.219
9,2014-15,GSW*,NBA,82,67,15,0.817,19730,3410,7137,2527,4920,883,2217,1313,1709,853,2814,3667,2248,762,496,1185,1628,9016,10.1,-0.09,10.01,98.3,111.6,101.4,0.54,13.1,24.1,0.184,0.47,14.3,25.5,0.217
10,2007-08,BOS*,NBA,82,66,16,0.805,19755,2986,6286,2390,4722,596,1564,1677,2176,830,2615,3445,1833,696,379,1246,1864,8245,10.26,-0.95,9.31,90.9,110.2,98.9,0.522,14.7,26.6,0.267,0.457,15.2,25.6,0.253
